City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
5,Dwarka,IN,82.63,clear sky,22.2394,68.9678,Hotel Narayan Avezika Comfort
8,Salalah,OM,82.49,overcast clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
12,Avarua,CK,80.65,broken clouds,-21.2078,-159.775,Paradise Inn
17,Rikitea,PF,79.39,clear sky,-23.1203,-134.9692,People ThankYou
18,Hithadhoo,MV,82.31,few clouds,-0.6,73.0833,Scoop Guest House
21,Cockburn Town,TC,77.54,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
22,New Norfolk,AU,80.1,clear sky,-42.7826,147.0587,The Shingles Riverside Cottages
28,Mackay,AU,82.38,scattered clouds,-21.15,149.2,International Lodge Motel
30,Kapaa,US,78.78,clear sky,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
32,Sorong,ID,82.76,overcast clouds,-0.8833,131.25,Waigo Splash Hotel
33,Puerto Ayora,EC,78.12,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
35,Vaini,TO,80.76,scattered clouds,-21.2,-175.2,Keleti Beach Resort
36,Geraldton,AU,82.81,broken clouds,-28.7667,114.6,Broadwater Mariner Resort
37,Conde,BR,76.46,broken clouds,-7.2597,-34.9075,Pousada Beija Flor
40,Oistins,BB,77.09,clear sky,13.0667,-59.5333,Butterfly Beach Hotel
42,Busselton,AU,71.44,broken clouds,-33.65,115.3333,Observatory Guest House
43,Bosaso,SO,76.6,clear sky,11.2842,49.1816,Red Sea Hotel
44,Atuona,PF,79.43,few clouds,-9.8,-139.0333,Villa Enata
57,Kavieng,PG,84.43,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
58,Isangel,VU,82.87,overcast clouds,-19.55,169.2667,Tanna Lodge
59,Cabo San Lucas,MX,70.61,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
61,Hilo,US,73.26,heavy intensity rain,19.7297,-155.09,Hilo Hawaiian Hotel
76,Saint-Philippe,RE,79.21,few clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
86,Inhambane,MZ,71.98,overcast clouds,-23.865,35.3833,Oceano
90,Hualmay,PE,70.36,overcast clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
96,Lingao,CN,79.18,broken clouds,19.9103,109.6859,Lingao Ditai Inn
97,Cartagena Del Chaira,CO,72.48,overcast clouds,1.3349,-74.8429,HOTEL LA ROCA
101,Flinders,AU,73.06,light rain,-34.5833,150.8552,Shellharbour Resort & Conference Centre
107,Souillac,MU,79.18,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
109,Papara,BR,75.6,overcast clouds,-3.9839,-38.7273,Bela vista Maranguape
110,Tamandare,BR,76.96,broken clouds,-8.7597,-35.1047,Pousada 100 Passos
117,Barranca,PE,70.11,broken clouds,-10.75,-77.7667,El Olivar Hospedaje
121,Lakeway,US,73.36,clear sky,30.3638,-97.9796,Lakeway Resort & Spa
129,Porto Walter,BR,72.66,overcast clouds,-8.2686,-72.7439,Secretaria de saúde
137,Ambilobe,MG,76.08,overcast clouds,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
139,Carnarvon,AU,82.2,clear sky,-24.8667,113.6333,Hospitality Carnarvon
148,Hobart,AU,80.46,clear sky,-42.8794,147.3294,St Ives Hobart Accommodation Tasmania
150,Broken Hill,AU,79.72,clear sky,-31.95,141.4333,Royal Exchange Hotel
154,Omboue,GA,77.99,overcast clouds,-1.5746,9.2618,Hotel Olako
155,Saint George,US,72.95,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
157,Paita,PE,73.11,overcast clouds,-5.0892,-81.1144,Hotel Náutico de Paita
158,Mahebourg,MU,82.26,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
162,Kulachi,PK,84.22,clear sky,31.9286,70.4592,Technical Zafran Mobile Zon kulachi
164,Puerto Leguizamo,CO,71.6,moderate rain,-0.1934,-74.7819,la casona de juancho
165,Butaritari,KI,81.5,scattered clouds,3.0707,172.7902,Isles Sunset Lodge
171,Honiara,SB,81.37,light rain,-9.4333,159.95,Heritage Park Hotel
177,Luanda,AO,75.2,scattered clouds,-8.8368,13.2343,EPIC SANA Luanda
182,Lafia,NG,78.62,broken clouds,8.4833,8.5167,Low Cost Housing Estate
189,Wagga Wagga,AU,80.85,scattered clouds,-35.1167,147.3667,The Club Motel and Apartments
195,Impfondo,CG,71.73,scattered clouds,1.6381,18.0667,Auberge La Place de Jules
202,Inirida,CO,72.36,overcast clouds,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
205,Codrington,AU,82.31,clear sky,-38.2667,141.9667,Codrington Gardens Bed And Breakfast
209,Marawi,PH,71.91,moderate rain,7.9986,124.2928,Derogongan Residence
225,Praia,CV,70.34,few clouds,14.9215,-23.5087,LT Aparthotel
226,Grand Gaube,MU,82.38,clear sky,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
236,Kupang,ID,84.49,scattered clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
243,Arlit,NE,72.75,few clouds,18.7369,7.3853,Case de Passage De la Prefecture
252,Norsup,VU,83.14,light rain,-16.0667,167.3833,Nabelchel Bungalows
253,Arraial Do Cabo,BR,76.46,clear sky,-22.9661,-42.0278,Pousada Porto Praia
254,Alofi,NU,80.98,light rain,-19.0595,-169.9187,Taloa Heights
259,Kavaratti,IN,82.51,clear sky,10.5669,72.642,Hotels in Lakshadweep Islands
260,Garowe,SO,71.44,clear sky,8.4054,48.4845,Curubo Hotel
261,Sumbe,AO,78.76,overcast clouds,-11.2061,13.8437,Hotel Ritz Sumbe
265,Victoria,HK,75.25,overcast clouds,22.2855,114.1577,Mini Hotel Central
273,Sao Joao Da Barra,BR,77.18,broken clouds,-21.6403,-41.0511,Pousada Porto De Canoas
281,Kloulklubed,PW,79.3,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
283,Huarmey,PE,70.9,overcast clouds,-10.0681,-78.1522,Hotel Miramar
285,Bathsheba,BB,77.61,few clouds,13.2167,-59.5167,Atlantis Hotel
290,Manokwari,ID,81.97,overcast clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
291,Bowen,AU,82.44,overcast clouds,-20.0167,148.2333,Castle Motor Lodge Motel
292,Ballina,AU,76.01,light rain,-28.8667,153.5667,Ramada Hotel & Suites by Wyndham Ballina Byron
313,Saint-Joseph,RE,79.21,few clouds,-21.3667,55.6167,"""Plantation Bed and Breakfast"
319,Faanui,PF,82.0,few clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
323,Bandarbeyla,SO,76.75,clear sky,9.4942,50.8122,JABIR HOTEL
331,Sabang,ID,82.35,few clouds,5.8933,95.3214,Hotel Citra
334,Yenagoa,NG,78.55,few clouds,4.9247,6.2642,Aridolf Resort Wellness and Spa
342,Vila Velha,BR,78.75,clear sky,-20.3297,-40.2925,Hotel Vitória Palace
343,Tibiri,NE,70.18,clear sky,13.5627,7.0485,FADA GAO FA TIBIRI
346,Touros,BR,78.04,overcast clouds,-5.1989,-35.4608,INN NEW HORIZON
351,Voi,KE,72.37,scattered clouds,-3.3945,38.563,Voi Wildlife Lodge
353,Bahia De Caraquez,EC,77.18,light rain,-0.6,-80.4167,Saiananda Eco-Hotel
359,Pianco,BR,72.79,overcast clouds,-7.1981,-37.9292,Via hotel
366,Namibe,AO,70.88,overcast clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
369,Caravelas,BR,75.92,clear sky,-17.7125,-39.2481,Pousada dos Navegantes
370,Ejido,VE,71.24,overcast clouds,8.5514,-71.2375,Bora Bora Nails & Spa C.A.
371,Makakilo City,US,77.32,clear sky,21.3469,-158.0858,Marriott's Ko Olina Beach Club
383,Belmonte,BR,77.14,clear sky,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
386,Colombia,CU,70.72,broken clouds,20.9881,-77.4297,Casa Lazara y Pupi
387,Bambous Virieux,MU,83.21,scattered clouds,-20.3428,57.7575,Casa Tia Villa
391,Cayenne,GF,80.1,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
395,Tabou,CI,78.57,overcast clouds,4.423,-7.3528,hotêl doufoulougou
396,Tual,ID,82.22,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
397,Kisangani,CD,70.79,overcast clouds,0.5167,25.2,Grand Ramela Hotel
403,Wamba,NG,74.1,overcast clouds,8.9333,8.6,Roma Zee Guest House Annex
405,Port Lincoln,AU,78.75,overcast clouds,-34.7333,135.8667,Port Lincoln Hotel
411,Baillif,GP,74.64,scattered clouds,16.0202,-61.7463,Hôtel Saint-Georges
412,Cotonou,BJ,81.99,overcast clouds,6.3654,2.4183,Novotel Cotonou Orisha
413,Hatillo,PR,75.85,broken clouds,18.4863,-66.8254,El Buen Hotel
421,Yeppoon,AU,82.18,broken clouds,-23.1333,150.7333,Villa Mar Colina
423,La Primavera,CO,78.21,overcast clouds,5.4906,-70.4092,La Riviera Hotel Colonial
430,Santarem,BR,77.13,moderate rain,-2.4431,-54.7083,Hotel Imperador
434,Hervey Bay,AU,76.46,few clouds,-25.2986,152.8535,Shelly Bay Resort
442,Mahibadhoo,MV,81.59,broken clouds,3.7833,72.9667,Omadhoo Inn
444,Spring Valley,US,81.79,scattered clouds,36.108,-115.245,Westgate Flamingo Bay Resort
446,Del Rio,US,75.31,clear sky,29.3627,-100.8968,"Holiday Inn Express & Suites del Rio, an IHG Hotel"
450,Quilmana,PE,70.68,broken clouds,-12.95,-76.3833,Hospedaje SAN ANTONIO
452,Lorengau,PG,83.75,light rain,-2.0226,147.2712,Lorengau Harbourside Hotel
456,Itarema,BR,75.31,overcast clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
457,Auki,SB,81.91,overcast clouds,-8.7676,160.7034,Auki Motel
459,Basoko,CD,73.51,overcast clouds,1.2391,23.616,Jackyna Hotel
460,Mankono,CI,75.13,broken clouds,8.0586,-6.1897,Hôtel cotonputeur
464,Kagoro,NG,73.04,broken clouds,9.6,8.3833,Palm Garden Hotel
465,Maxixe,MZ,73.22,broken clouds,-23.8597,35.3472,Oceano
467,Swan Hill,AU,82.74,clear sky,-35.3378,143.5544,Lazy River Motor Inn
469,Soe,ID,78.04,clear sky,-9.8607,124.284,Dena Hotel
471,Puerto Rondon,CO,78.53,overcast clouds,6.2805,-71.1,Urbanización Santa Clara
472,Pailon,BO,70.7,overcast clouds,-17.65,-62.75,Alojamiento pailon
473,Oeiras,BR,75.16,overcast clouds,-7.0253,-42.1311,Hotel SESC Oeiras
478,Coolidge,US,78.1,clear sky,32.9778,-111.5176,Grande Vista Motel
480,Dalby,AU,77.99,moderate rain,-27.1833,151.2667,Kobbers Motor Inn Dalby
485,Victoria Point,AU,84.18,few clouds,-27.5833,153.3,Bay Retreat Motel
486,Tezu,IN,78.53,overcast clouds,27.9167,96.1667,Circuit House
487,Kirakira,SB,82.13,overcast clouds,-10.4544,161.9205,SanBiz Lodge
489,Bonthe,SL,76.86,light rain,7.5264,-12.505,Bonthe Holiday Village
495,Wajir,KE,80.56,broken clouds,1.7471,40.0573,Al-bustan Hotel And Restaurant.
502,Kudahuvadhoo,MV,81.45,scattered clouds,2.6708,72.8944,Niyama Private Islands Maldives
504,Sola,VU,83.01,overcast clouds,-13.8833,167.55,Leumerus Bungalows
506,Sinnamary,GF,77.05,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
508,Manta,EC,76.78,overcast clouds,-0.95,-80.7333,Balandra Hotel
514,Bajil,YE,74.16,broken clouds,15.0584,43.2851,فندق حضرموت
519,San Policarpo,PH,82.42,overcast clouds,12.1791,125.5072,Agapita M. Nicart
522,Jega,NG,80.67,few clouds,12.2175,4.3792,ALH. Nasiru Ibrahim
531,Sibu,MY,84.51,scattered clouds,2.3,111.8167,RH HOTEL (4 Star)
538,Buala,SB,80.62,overcast clouds,-8.145,159.5921,Maringe Lagoon Lodge
539,Saint-Georges,GD,78.48,few clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
542,Mogadishu,SO,82.27,broken clouds,2.0371,45.3438,Hotel Juba
543,Ouesso,CG,70.14,scattered clouds,1.6136,16.0517,ABENIE Hotel
544,Indramayu,ID,83.64,overcast clouds,-6.3264,108.32,Grand Trisula Hotel
546,Kaura Namoda,NG,73.87,clear sky,12.5898,6.5779,Moonlight Hotel
557,Sidney,AU,72.23,light intensity shower rain,-33.8679,151.2073,The Grace Sydney
558,Sur,OM,84.22,clear sky,22.5667,59.5289,Sur Plaza Hotel
569,Kerema,PG,84.74,overcast clouds,-7.9631,145.7785,Frena Lodge
571,Grand-Bourg,GP,73.35,broken clouds,15.8835,-61.3148,Coco Beach Resort
576,Teahupoo,PF,78.76,few clouds,-17.8333,-149.2667,Vanira Lodge
577,Twentynine Palms,US,77.13,clear sky,34.1356,-116.0542,"Holiday Inn Express & Suites Twentynine Palms- Joshua Tree, an IHG Hotel"
581,Sao Gabriel Da Cachoeira,BR,72.86,heavy intensity rain,-0.1303,-67.0892,Alarne - Área De Lazer Do Alto Rio Negro
583,Gaozhou,CN,72.46,overcast clouds,21.9392,110.8461,望江楼旅业
584,Mana,GF,76.55,overcast clouds,5.6592,-53.7767,LE SAMANA
585,Tahoua,NE,74.52,clear sky,14.8888,5.2692,Bungalows Guesthouse
586,Buchanan,LR,78.01,overcast clouds,5.8808,-10.0467,Kamaneahn Hotel Inc
587,Berbera,SO,78.01,clear sky,10.4396,45.0143,IBCO REAL ESTATE PROPERTY
593,Salinopolis,BR,77.04,overcast clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
594,Kita,ML,83.19,overcast clouds,13.0349,-9.4895,Hôtel Chat Rouge
598,Conceicao Do Araguaia,BR,73.6,overcast clouds,-8.2578,-49.2647,Tarumã Tropical Hotel
600,Kiama,AU,72.57,light rain,-34.6833,150.8667,The Sebel Kiama Harbourside
606,Sao Joao Do Piaui,BR,73.96,scattered clouds,-8.3581,-42.2467,Nayra Palace Hotel
611,Cap Malheureux,MU,83.46,clear sky,-19.9842,57.6142,Pereybere Hotel & Spa
615,Matara,LK,84.58,clear sky,5.9485,80.5353,Amaloh Boutique Resort
616,Carinhanha,BR,72.97,overcast clouds,-14.3047,-43.765,Hotel União
618,Kaeo,NZ,72.32,overcast clouds,-35.1,173.7833,Bushido Lodge
620,Praya,CV,70.34,few clouds,14.9215,-23.5087,LT Aparthotel
622,Moindou,NC,79.57,broken clouds,-21.6924,165.677,Equi-lodge de Moindou
633,Byron Bay,AU,76.71,overcast clouds,-28.65,153.6167,Backpackers Inn
634,Baracoa,CU,73.31,overcast clouds,20.3467,-74.4958,Hostal Rio Miel
635,Jizan,SA,76.14,scattered clouds,17.3333,42.6667,شهدان. ابوالحجر
647,Saint-Marc,HT,76.53,broken clouds,19.1082,-72.6938,Maguana Hotel
648,Mbaiki,CF,70.45,broken clouds,3.8678,17.9892,Motel MBM
651,Sabya,SA,76.62,scattered clouds,17.1495,42.6254,Aseel Hotel Apartment
654,San Juan Del Sur,NI,78.26,scattered clouds,11.2529,-85.8705,Nuestra Casa
